test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,6.046065259117083e-05,0.1233890869207568,0.17,0.0007759870933301771,0.1707759870933302,0.167
2,0.06028,0.00015,6.046065259117083e-05,0.4030710172744722,0.162,0.008280644493714467,0.17028064449371447,0.167
3,0.06868,0.00011,6.046065259117083e-05,0.5496422962833711,0.155,0.01539789265360128,0.17039789265360128,0.167
4,0.07318,9e-05,6.046065259117083e-05,0.6717850287907869,0.145,0.023001790260317963,0.16800179026031795,0.167
5,0.08108,7.9e-05,6.046065259117083e-05,0.7653247163439345,0.135,0.02985330894224892,0.16485330894224892,0.167
6,0.14154,0.00049,6.046065259117083e-05,0.1233890869207568,0.145,0.0007759870933301771,0.14577598709333017,0.157
