test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00013707317073170732,0.27974116475858635,0.241,0.003988538188608081,0.24498853818860808,0.241
2,0.06028,0.00015,0.00013707317073170732,0.9138211382113822,0.204,0.04256213418154669,0.24656213418154668,0.241
3,0.06868,0.00011,0.00013707317073170732,1.246119733924612,0.166,0.07914446438717358,0.24514446438717358,0.241
4,0.07318,9e-05,0.00013707317073170732,1.5230352303523034,0.127,0.1182281505042963,0.2452281505042963,0.241
5,0.08108,7.9e-05,0.00013707317073170732,1.735103426983637,0.077,0.15344464333997762,0.2304446433399776,0.238
6,0.14154,0.00049,0.00013707317073170732,0.27974116475858635,0.135,0.003988538188608081,0.1389885381886081,0.157
