test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00013231064237775647,0.2700217191382785,0.25,0.0037161941287661236,0.2537161941287661,0.248
2,0.06028,0.00015,0.00013231064237775647,0.8820709491850433,0.215,0.03965592045852207,0.2546559204585221,0.248
3,0.06868,0.00011,0.00013231064237775647,1.2028240216159678,0.18,0.07374034796006167,0.2537403479600617,0.248
4,0.07318,9e-05,0.00013231064237775647,1.4701182486417383,0.143,0.11015533460700569,0.2531553346070057,0.247
5,0.08108,7.9e-05,0.00013231064237775647,1.6748182579462845,0.077,0.14296718639909414,0.21996718639909413,0.244
6,0.14154,0.00049,0.00013231064237775647,0.2700217191382785,0.152,0.0037161941287661236,0.1557161941287661,0.163
