test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00016814159292035397,0.34314610800072237,0.283,0.006001490898880908,0.2890014908988809,0.286
2,0.06028,0.00015,0.00016814159292035397,1.12094395280236,0.227,0.06404257621428029,0.2910425762142803,0.286
3,0.06868,0.00011,0.00016814159292035397,1.5285599356395816,0.171,0.11908743510919886,0.2900874351091989,0.285
4,0.07318,9e-05,0.00016814159292035397,1.8682399213372662,0.115,0.1778960450396674,0.29289604503966743,0.283
5,0.08108,7.9e-05,0.00016814159292035397,2.1283745939285312,0.04,0.23088574985119467,0.2708857498511947,0.281
6,0.14154,0.00049,0.00016814159292035397,0.34314610800072237,0.133,0.006001490898880908,0.13900149089888092,0.16
