test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00010068426197458456,0.2054780856624175,0.22,0.002151949219545962,0.22215194921954595,0.224
2,0.06028,0.00015,0.00010068426197458456,0.6712284131638971,0.2,0.022963689227243803,0.2229636892272438,0.222
3,0.06868,0.00011,0.00010068426197458456,0.9153114724962232,0.178,0.04270107500933763,0.2207010750093376,0.22
4,0.07318,9e-05,0.00010068426197458456,1.1187140219398284,0.157,0.06378802563123276,0.22078802563123276,0.219
5,0.08108,7.9e-05,0.00010068426197458456,1.2744843287922096,0.132,0.08278849665325837,0.2147884966532584,0.217
6,0.14154,0.00049,0.00010068426197458456,0.2054780856624175,0.162,0.002151949219545962,0.16415194921954596,0.182
