test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,3.495814869522403e-05,0.07134316060249801,0.16,0.00025942133357562813,0.16025942133357562,0.157
2,0.06028,0.00015,3.495814869522403e-05,0.23305432463482686,0.157,0.002768313875178148,0.15976831387517815,0.157
3,0.06868,0.00011,3.495814869522403e-05,0.3178013517747639,0.154,0.005147691090207299,0.1591476910902073,0.157
4,0.07318,9e-05,3.495814869522403e-05,0.38842387439137804,0.15,0.007689760764383742,0.15768976076438374,0.157
5,0.08108,7.9e-05,3.495814869522403e-05,0.44250821133194973,0.145,0.009980301584923622,0.15498030158492362,0.157
6,0.14154,0.00049,3.495814869522403e-05,0.07134316060249801,0.148,0.00025942133357562813,0.14825942133357561,0.155
