test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,4.0895813047711785e-05,0.08346084295451385,0.18,0.0003550312082914385,0.18035503120829144,0.174
2,0.06028,0.00015,4.0895813047711785e-05,0.27263875365141194,0.175,0.0037885774715899732,0.17878857747158997,0.174
3,0.06868,0.00011,4.0895813047711785e-05,0.37178011861556165,0.171,0.00704487546370036,0.17804487546370037,0.174
4,0.07318,9e-05,4.0895813047711785e-05,0.45439792275235313,0.163,0.010523826309972145,0.17352382630997215,0.174
5,0.08108,7.9e-05,4.0895813047711785e-05,0.5176685195912885,0.158,0.013658547205700112,0.17165854720570012,0.174
6,0.14154,0.00049,4.0895813047711785e-05,0.08346084295451385,0.163,0.0003550312082914385,0.16335503120829145,0.171
