test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.0001509433962264151,0.30804774740084717,0.26,0.004836565478019171,0.2648365654780192,0.259
2,0.06028,0.00015,0.0001509433962264151,1.0062893081761008,0.214,0.051611527612106814,0.2656115276121068,0.259
3,0.06868,0.00011,0.0001509433962264151,1.3722126929674099,0.168,0.09597184886548782,0.26397184886548786,0.258
4,0.07318,9e-05,0.0001509433962264151,1.6771488469601676,0.123,0.1433653544780744,0.2663653544780744,0.258
5,0.08108,7.9e-05,0.0001509433962264151,1.9106759016001913,0.062,0.18606943939631518,0.24806943939631518,0.256
6,0.14154,0.00049,0.0001509433962264151,0.30804774740084717,0.135,0.004836565478019171,0.13983656547801918,0.159
