test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00011897738446411012,0.24281098870226556,0.22,0.0030049529171545224,0.22300495291715453,0.218
2,0.06028,0.00015,0.00011897738446411012,0.7931825630940675,0.191,0.032066186462613375,0.2230661864626134,0.218
3,0.06868,0.00011,0.00011897738446411012,1.0816125860373647,0.163,0.059627206232132295,0.2226272062321323,0.218
4,0.07318,9e-05,0.00011897738446411012,1.3219709384901124,0.133,0.08907274017392601,0.22207274017392603,0.217
5,0.08108,7.9e-05,0.00011897738446411012,1.5060428413178497,0.095,0.11560474209402354,0.21060474209402352,0.216
6,0.14154,0.00049,0.00011897738446411012,0.24281098870226556,0.139,0.0030049529171545224,0.14200495291715454,0.157
