test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00012851600387972842,0.2622775589382213,0.23,0.0035060916372371123,0.23350609163723712,0.229
2,0.06028,0.00015,0.00012851600387972842,0.8567733591981895,0.197,0.03741389342669469,0.2344138934266947,0.229
3,0.06868,0.00011,0.00012851600387972842,1.1683273079975312,0.164,0.06957128942980417,0.23357128942980418,0.229
4,0.07318,9e-05,0.00012851600387972842,1.427955598663649,0.131,0.10392748174081855,0.23492748174081857,0.229
5,0.08108,7.9e-05,0.00012851600387972842,1.6267848592370686,0.087,0.13488424965560494,0.22188424965560494,0.227
6,0.14154,0.00049,0.00012851600387972842,0.2622775589382213,0.138,0.0035060916372371123,0.14150609163723712,0.158
