test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00012213359920239283,0.24925224327018944,0.24,0.0031664974910918294,0.24316649749109182,0.237
2,0.06028,0.00015,0.00012213359920239283,0.814223994682619,0.219,0.03379004656049549,0.2527900465604955,0.237
3,0.06868,0.00011,0.00012213359920239283,1.1103054472944802,0.178,0.06283273120753291,0.2408327312075329,0.237
4,0.07318,9e-05,0.00012213359920239283,1.357039991137698,0.146,0.09386124044582077,0.23986124044582074,0.237
5,0.08108,7.9e-05,0.00012213359920239283,1.5459949266125674,0.107,0.12181958782425065,0.22881958782425066,0.234
6,0.14154,0.00049,0.00012213359920239283,0.24925224327018944,0.153,0.0031664974910918294,0.15616649749109182,0.172
