test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,7.345739471106758e-05,0.14991305043075018,0.179,0.001145459872041419,0.18014545987204142,0.176
2,0.06028,0.00015,7.345739471106758e-05,0.4897159647404506,0.167,0.0122233295678731,0.17922332956787312,0.176
3,0.06868,0.00011,7.345739471106758e-05,0.6677944973733416,0.156,0.022729331841086338,0.17872933184108633,0.176
4,0.07318,9e-05,7.345739471106758e-05,0.8161932745674175,0.143,0.033953693244091934,0.17695369324409194,0.176
5,0.08108,7.9e-05,7.345739471106758e-05,0.9298404393806023,0.128,0.04406744356307399,0.172067443563074,0.175
6,0.14154,0.00049,7.345739471106758e-05,0.14991305043075018,0.143,0.001145459872041419,0.14414545987204141,0.158
