test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00016235059760956176,0.33132775022359545,0.29,0.005595212949451032,0.295595212949451,0.289
2,0.06028,0.00015,0.00016235059760956176,1.0823373173970785,0.237,0.05970713907391969,0.29670713907391966,0.288
3,0.06868,0.00011,0.00016235059760956176,1.4759145237232887,0.184,0.1110256718316688,0.2950256718316688,0.287
4,0.07318,9e-05,0.00016235059760956176,1.8038955289951306,0.13,0.1658531640942213,0.2958531640942213,0.286
5,0.08108,7.9e-05,0.00016235059760956176,2.0550708558172377,0.064,0.21525566882922495,0.2792556688292249,0.281
6,0.14154,0.00049,0.00016235059760956176,0.33132775022359545,0.148,0.005595212949451032,0.15359521294945103,0.165
