test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,4.469828656568165e-06,0.009122099299118704,0.17,4.2412179216606495e-06,0.17000424121792168,0.168
2,0.06028,0.00015,4.469828656568165e-06,0.029798857710454436,0.17,4.5258507688476545e-05,0.17004525850768848,0.168
3,0.06868,0.00011,4.469828656568165e-06,0.0406348059688015,0.169,8.415838206534893e-05,0.16908415838206536,0.168
4,0.07318,9e-05,4.469828656568165e-06,0.04966476285075738,0.165,0.00012571807691243479,0.16512571807691245,0.168
5,0.08108,7.9e-05,4.469828656568165e-06,0.05658010957681222,0.165,0.000163165586122532,0.16516316558612254,0.168
6,0.14154,0.00049,4.469828656568165e-06,0.009122099299118704,0.165,4.2412179216606495e-06,0.16500424121792168,0.167
