test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00012602739726027398,0.2571987699189265,0.25,0.003371621164516253,0.2533716211645163,0.25
2,0.06028,0.00015,0.00012602739726027398,0.8401826484018267,0.22,0.035978944071126784,0.25597894407112676,0.25
3,0.06868,0.00011,0.00012602739726027398,1.1457036114570363,0.189,0.06690299517358284,0.25590299517358284,0.25
4,0.07318,9e-05,0.00012602739726027398,1.4003044140030443,0.157,0.09994151130868548,0.2569415113086855,0.25
5,0.08108,7.9e-05,0.00012602739726027398,1.5952835096237215,0.115,0.12971098247081436,0.24471098247081435,0.248
6,0.14154,0.00049,0.00012602739726027398,0.2571987699189265,0.162,0.003371621164516253,0.16537162116451626,0.183
