test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,6.467181467181467e-05,0.1319832952486014,0.19,0.0008878486353047647,0.19088784863530478,0.184
2,0.06028,0.00015,6.467181467181467e-05,0.4311454311454312,0.18,0.00947433143718551,0.1894743314371855,0.184
3,0.06868,0.00011,6.467181467181467e-05,0.5879255879255879,0.17,0.01761755845757636,0.18761755845757638,0.184
4,0.07318,9e-05,6.467181467181467e-05,0.7185757185757186,0.16,0.026317587325515306,0.18631758732551532,0.183
5,0.08108,7.9e-05,6.467181467181467e-05,0.8186305654660085,0.148,0.03415677893553501,0.182156778935535,0.182
6,0.14154,0.00049,6.467181467181467e-05,0.1319832952486014,0.16,0.0008878486353047647,0.16088784863530478,0.173
