test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00011044776119402985,0.22540359427353032,0.21,0.0025895402809085763,0.21258954028090857,0.208
2,0.06028,0.00015,0.00011044776119402985,0.7363184079601991,0.186,0.027633272064273302,0.2136332720642733,0.208
3,0.06868,0.00011,0.00011044776119402985,1.0040705563093624,0.162,0.05138418359059085,0.21338418359059086,0.208
4,0.07318,9e-05,0.00011044776119402985,1.2271973466003316,0.135,0.0767590890674258,0.2117590890674258,0.208
5,0.08108,7.9e-05,0.00011044776119402985,1.3980729265067071,0.103,0.0996232368925091,0.2026232368925091,0.207
6,0.14154,0.00049,0.00011044776119402985,0.22540359427353032,0.139,0.0025895402809085763,0.1415895402809086,0.158
