test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00010348162475822051,0.21118698930249083,0.219,0.002273187790553026,0.22127318779055302,0.216
2,0.06028,0.00015,0.00010348162475822051,0.6898774983881367,0.197,0.024257439489412516,0.2212574394894125,0.216
3,0.06868,0.00011,0.00010348162475822051,0.94074204325655,0.175,0.04510680896791583,0.22010680896791582,0.216
4,0.07318,9e-05,0.00010348162475822051,1.1497958306468945,0.15,0.06738177635947921,0.2173817763594792,0.216
5,0.08108,7.9e-05,0.00010348162475822051,1.3098939842812722,0.121,0.08745271407014607,0.20845271407014607,0.215
6,0.14154,0.00049,0.00010348162475822051,0.21118698930249083,0.155,0.002273187790553026,0.15727318779055302,0.173
