test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.0001485148514851485,0.3030915336431602,0.27,0.004682185411119415,0.27468218541111944,0.269
2,0.06028,0.00015,0.0001485148514851485,0.9900990099009902,0.225,0.049964120764878744,0.27496412076487875,0.269
3,0.06868,0.00011,0.0001485148514851485,1.3501350135013501,0.18,0.09290848902560095,0.27290848902560094,0.268
4,0.07318,9e-05,0.0001485148514851485,1.65016501650165,0.135,0.13878922434688534,0.27378922434688535,0.267
5,0.08108,7.9e-05,0.0001485148514851485,1.8799348289259306,0.078,0.18013022227363748,0.25813022227363747,0.263
6,0.14154,0.00049,0.0001485148514851485,0.3030915336431602,0.15,0.004682185411119415,0.15468218541111942,0.175
