test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00015933528836754643,0.3251740578929519,0.272,0.005389305195034089,0.27738930519503413,0.27
2,0.06028,0.00015,0.00015933528836754643,1.062235255783643,0.22,0.05750987454789712,0.2775098745478971,0.27
3,0.06868,0.00011,0.00015933528836754643,1.4485026215231493,0.17,0.10693984936592436,0.27693984936592436,0.27
4,0.07318,9e-05,0.00015933528836754643,1.770392092972738,0.12,0.15974965152193638,0.27974965152193637,0.27
5,0.08108,7.9e-05,0.00015933528836754643,2.016902384399322,0.052,0.20733410949009537,0.2593341094900954,0.267
6,0.14154,0.00049,0.00015933528836754643,0.3251740578929519,0.135,0.005389305195034089,0.1403893051950341,0.158
