test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.000156686626746507,0.3197686260132796,0.282,0.005211619479226334,0.2872116194792263,0.281
2,0.06028,0.00015,0.000156686626746507,1.04457751164338,0.233,0.055613770531655234,0.28861377053165527,0.281
3,0.06868,0.00011,0.000156686626746507,1.4244238795136999,0.183,0.10341403611258203,0.28641403611258204,0.28
4,0.07318,9e-05,0.000156686626746507,1.7409625194056333,0.133,0.1544826959212645,0.2874826959212645,0.279
5,0.08108,7.9e-05,0.000156686626746507,1.9833750221076836,0.071,0.20049829145365208,0.27149829145365206,0.274
6,0.14154,0.00049,0.000156686626746507,0.3197686260132796,0.15,0.005211619479226334,0.15521161947922632,0.175
