test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,8.783783783783784e-05,0.17926089354660785,0.189,0.0016378424034214202,0.1906378424034214,0.187
2,0.06028,0.00015,8.783783783783784e-05,0.5855855855855856,0.173,0.017477598269399246,0.19047759826939922,0.187
3,0.06868,0.00011,8.783783783783784e-05,0.7985257985257985,0.158,0.03249966620342835,0.19049966620342834,0.187
4,0.07318,9e-05,8.783783783783784e-05,0.975975975975976,0.14,0.048548884081664564,0.1885488840816646,0.187
5,0.08108,7.9e-05,8.783783783783784e-05,1.111871365035922,0.12,0.06301008829698494,0.18301008829698495,0.186
6,0.14154,0.00049,8.783783783783784e-05,0.17926089354660785,0.142,0.0016378424034214202,0.1436378424034214,0.158
