test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00010231660231660232,0.20880939248286187,0.2,0.0022222916610123264,0.20222229166101233,0.2
2,0.06028,0.00015,0.00010231660231660232,0.6821106821106822,0.179,0.023714321235958208,0.2027143212359582,0.2
3,0.06868,0.00011,0.00010231660231660232,0.9301509301509301,0.16,0.044096878331327236,0.20409687833132723,0.2
4,0.07318,9e-05,0.00010231660231660232,1.1368511368511367,0.138,0.06587311454432833,0.20387311454432833,0.2
5,0.08108,7.9e-05,0.00010231660231660232,1.295146864767118,0.111,0.08549466877248192,0.19649466877248192,0.199
6,0.14154,0.00049,0.00010231660231660232,0.20880939248286187,0.141,0.0022222916610123264,0.1432222916610123,0.157
