test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.0001592039800995025,0.3249060818357194,0.273,0.005380426198462751,0.27838042619846276,0.283
2,0.06028,0.00015,0.0001592039800995025,1.0613598673300166,0.22,0.05741512578892918,0.2774151257889292,0.274
3,0.06868,0.00011,0.0001592039800995025,1.4473089099954772,0.169,0.1067636636570997,0.2757636636570997,0.272
4,0.07318,9e-05,0.0001592039800995025,1.7689331122166942,0.117,0.15948646052480323,0.27648646052480325,0.264
5,0.08108,7.9e-05,0.0001592039800995025,2.015240254424082,0.051,0.20699252207192861,0.25799252207192863,0.259
6,0.14154,0.00049,0.0001592039800995025,0.3249060818357194,0.132,0.005380426198462751,0.13738042619846275,0.16
