test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,9.724950884086444e-05,0.19846838538951928,0.215,0.0020076299693742483,0.21700762996937425,0.215
2,0.06028,0.00015,9.724950884086444e-05,0.6483300589390963,0.197,0.021423642473189203,0.2184236424731892,0.215
3,0.06868,0.00011,9.724950884086444e-05,0.8840864440078585,0.179,0.039837351706343546,0.21883735170634355,0.215
4,0.07318,9e-05,9.724950884086444e-05,1.080550098231827,0.16,0.059510117981081086,0.21951011798108108,0.215
5,0.08108,7.9e-05,9.724950884086444e-05,1.2310064410236006,0.135,0.0772363332233227,0.2122363332233227,0.215
6,0.14154,0.00049,9.724950884086444e-05,0.19846838538951928,0.16,0.0020076299693742483,0.16200762996937426,0.179
