test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00013170272812793979,0.268781077812122,0.244,0.0036821237405629966,0.247682123740563,0.252
2,0.06028,0.00015,0.00013170272812793979,0.8780181875195986,0.209,0.03929235156040779,0.2482923515604078,0.245
3,0.06868,0.00011,0.00013170272812793979,1.1972975284358163,0.174,0.07306429009166739,0.24706429009166736,0.245
4,0.07318,9e-05,0.00013170272812793979,1.4633636458659975,0.138,0.10914542100113274,0.24714542100113274,0.242
5,0.08108,7.9e-05,0.00013170272812793979,1.6671231408599974,0.095,0.14165645090677384,0.23665645090677384,0.24
6,0.14154,0.00049,0.00013170272812793979,0.268781077812122,0.147,0.0036821237405629966,0.150682123740563,0.17
