test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.00014278656126482216,0.29140114543841256,0.248,0.004327962668849075,0.25232796266884905,0.247
2,0.06028,0.00015,0.00014278656126482216,0.9519104084321478,0.207,0.04618417052402948,0.2531841705240295,0.247
3,0.06868,0.00011,0.00014278656126482216,1.2980596478620197,0.168,0.08587965593311266,0.2538796559331127,0.247
4,0.07318,9e-05,0.00014278656126482216,1.5865173473869127,0.127,0.12828936256674853,0.2552893625667485,0.247
5,0.08108,7.9e-05,0.00014278656126482216,1.8074248261369894,0.072,0.1665027778866629,0.2385027778866629,0.245
6,0.14154,0.00049,0.00014278656126482216,0.29140114543841256,0.137,0.004327962668849075,0.1413279626688491,0.158
