test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.0001395812562313061,0.2848597065945022,0.26,0.004135833457752593,0.2641358334577526,0.258
2,0.06028,0.00015,0.0001395812562313061,0.9305417082087073,0.22,0.04413393836472879,0.2641339383647288,0.258
3,0.06868,0.00011,0.0001395812562313061,1.2689205111936916,0.18,0.0820672407608593,0.2620672407608593,0.258
4,0.07318,9e-05,0.0001395812562313061,1.550902847014512,0.14,0.12259427323535775,0.2625942732353578,0.257
5,0.08108,7.9e-05,0.0001395812562313061,1.766851344700077,0.09,0.15911129838269472,0.24911129838269472,0.254
6,0.14154,0.00049,0.0001395812562313061,0.2848597065945022,0.15,0.004135833457752593,0.15413583345775259,0.165
