test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,7.961165048543688e-05,0.16247275609272835,0.199,0.0013454330515987357,0.20034543305159874,0.195
2,0.06028,0.00015,7.961165048543688e-05,0.5307443365695793,0.186,0.014357265586171399,0.2003572655861714,0.195
3,0.06868,0.00011,7.961165048543688e-05,0.7237422771403353,0.172,0.026697394685029456,0.19869739468502945,0.195
4,0.07318,9e-05,7.961165048543688e-05,0.884573894282632,0.156,0.039881293294920545,0.19588129329492054,0.195
5,0.08108,7.9e-05,7.961165048543688e-05,1.007742411208062,0.14,0.05176069150598566,0.19176069150598568,0.194
6,0.14154,0.00049,7.961165048543688e-05,0.16247275609272835,0.158,0.0013454330515987357,0.15934543305159873,0.163
