test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,9.08203125e-05,0.18534757653061226,0.208,0.0017509543387243204,0.20975095433872432,0.204
2,0.06028,0.00015,9.08203125e-05,0.60546875,0.192,0.0186846282990093,0.2106846282990093,0.204
3,0.06868,0.00011,9.08203125e-05,0.8256392045454545,0.174,0.03474414353121564,0.20874414353121562,0.204
4,0.07318,9e-05,9.08203125e-05,1.0091145833333333,0.154,0.05190174527502582,0.2059017452750258,0.204
5,0.08108,7.9e-05,9.08203125e-05,1.1496242088607596,0.132,0.06736166267067928,0.19936166267067928,0.203
6,0.14154,0.00049,9.08203125e-05,0.18534757653061226,0.157,0.0017509543387243204,0.15875095433872433,0.173
