test_section,dist,area,flow_rate,velocity,pressure_head,velocity_head,calculated_total_head,measured_total_head
1,0.0,0.00049,0.0001506849315068493,0.3075202683813251,0.282,0.004820016078762601,0.28682001607876256,0.277
2,0.06028,0.00015,0.0001506849315068493,1.004566210045662,0.235,0.0514349271338178,0.2864349271338178,0.277
3,0.06868,0.00011,0.0001506849315068493,1.3698630136986298,0.19,0.09564345954635538,0.2856434595463554,0.277
4,0.07318,9e-05,0.0001506849315068493,1.6742770167427699,0.143,0.14287479759393829,0.2858747975939383,0.275
5,0.08108,7.9e-05,0.0001506849315068493,1.9074041962892316,0.082,0.18543276085737867,0.26743276085737866,0.272
6,0.14154,0.00049,0.0001506849315068493,0.3075202683813251,0.153,0.004820016078762601,0.1578200160787626,0.179
